Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Toscana;13,00;Not Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;14,69;NON raggiungono il traguardo
Molise;19,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;14,70;Non sufficienza
Lombardia;5,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;14,71;NON raggiungono il traguardo
Liguria;4,00;Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;14,72;NON raggiungono il traguardo
Lazio;16,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;14,87;NON raggiungono il traguardo
Basilicata;23,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;14,96;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;14,97;Non sufficienza
Lazio;16,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;15,03;Non sufficienza
Emilia-Romagna;11,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;15,05;NON raggiungono il traguardo
Molise;19,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;15,08;Non sufficienza
Lazio;16,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;15,13;NON raggiungono il traguardo
Piemonte;3,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;15,22;Non sufficienza
Valle d'Aosta;2,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;15,25;Non sufficienza
Prov. Aut. Trento;8,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;15,34;Non sufficienza
Lazio;16,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;15,42;NON raggiungono il traguardo
Basilicata;23,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;15,44;NON raggiungono il traguardo
Sardegna;26,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;15,47;Non sufficienza
Basilicata;23,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;15,61;Non sufficienza
Lazio;16,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;15,68;Non sufficienza
Molise;19,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;15,73;Non sufficienza
Marche;15,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;15,81;Non sufficienza
Abruzzo;18,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;15,94;NON raggiungono il traguardo
Basilicata;23,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;16,01;Non sufficienza
Marche;15,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;16,08;Non sufficienza
Marche;15,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;16,18;Non sufficienza
Umbria;14,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;16,30;Non sufficienza
Molise;19,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;16,30;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;16,34;Non sufficienza
Basilicata;23,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;16,34;NON raggiungono il traguardo
Molise;19,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;16,35;Non sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;16,39;NON raggiungono il traguardo
Abruzzo;18,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;16,40;NON raggiungono il traguardo
Veneto;9,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;16,50;Non sufficienza
Umbria;14,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;16,51;Non sufficienza
Umbria;14,00;;Not Statistically significant;;;;;;Grado 5;Italiano;2018-2019;16,52;Non sufficienza
Campania;20,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;16,54;NON raggiungono il traguardo
Liguria;4,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;16,57;NON raggiungono il traguardo
Puglia;21,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;16,65;NON raggiungono il traguardo
Veneto;9,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;16,67;Non sufficienza
Umbria;14,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;16,68;Non sufficienza
Basilicata;23,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;16,70;Non sufficienza
Calabria;24,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;16,74;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;16,82;Non sufficienza
Piemonte;3,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;16,84;NON raggiungono il traguardo
Piemonte;3,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;16,86;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;16,87;Non sufficienza
Basilicata;23,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;16,88;NON raggiungono il traguardo
Lazio;16,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;16,97;Non sufficienza
Puglia;21,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;16,98;NON raggiungono il traguardo
Liguria;4,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;17,07;Non sufficienza
Emilia-Romagna;11,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;17,07;Non sufficienza
Liguria;4,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;17,14;Non sufficienza
Veneto;9,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;17,14;Non sufficienza
Molise;19,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;17,22;Non sufficienza
Prov. Aut. Trento;8,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;17,24;Non sufficienza
Abruzzo;18,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;17,36;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;17,48;Non sufficienza
Campania;20,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;17,50;NON raggiungono il traguardo
Sicilia;25,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;17,53;NON raggiungono il traguardo
Puglia;21,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;17,57;Non sufficienza
Puglia;21,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;17,62;Non sufficienza
Marche;15,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;17,62;Non sufficienza
Lombardia;5,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;17,66;Non sufficienza
Liguria;4,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;17,74;NON raggiungono il traguardo
Umbria;14,00;;Not Statistically significant;;;;;;Grado 2;Italiano;2018-2019;17,80;Non sufficienza
Valle d'Aosta;2,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;17,80;Non sufficienza
Umbria;14,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;17,84;Non sufficienza
Marche;15,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;17,89;Non sufficienza
Toscana;13,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;17,96;Non sufficienza
Valle d'Aosta;2,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;18,03;Non sufficienza
Toscana;13,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;18,07;Non sufficienza
Friuli-Venezia Giulia;10,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Italiano;2021-2022;18,11;Non sufficienza
Emilia-Romagna;11,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;18,27;Non sufficienza
Lombardia;5,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;18,27;Non sufficienza
Abruzzo;18,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Italiano;2021-2022;18,32;Non sufficienza
Sicilia;25,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;18,38;Non sufficienza
Molise;19,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;18,39;Non sufficienza
Veneto;9,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;18,43;Non sufficienza
Umbria;14,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;18,44;NON raggiungono il traguardo
Lazio;16,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;18,47;Non sufficienza
Veneto;9,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;18,50;Non sufficienza
Piemonte;3,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;18,50;Non sufficienza
Toscana;13,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;18,52;Non sufficienza
Lombardia;5,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;18,58;Non sufficienza
Basilicata;23,00;;Not Statistically significant;;;;;;Grado 2;Italiano;2018-2019;18,61;Non sufficienza
Campania;20,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;18,67;Non sufficienza
Valle d'Aosta;2,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;18,72;Non sufficienza
Umbria;14,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;18,75;Non sufficienza
Prov. Aut. Trento;8,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;18,79;Non sufficienza
Piemonte;3,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;18,82;Non sufficienza
Marche;15,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;18,97;Non sufficienza
Liguria;4,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;19,01;Non sufficienza
Valle d'Aosta;2,00;;Not Statistically significant;;;;;;Grado 5;Italiano;2018-2019;19,07;Non sufficienza
Marche;15,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;19,09;Non sufficienza
Marche;15,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;19,11;Non sufficienza
Sardegna;26,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;19,25;NON raggiungono il traguardo
Valle d'Aosta;2,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;19,26;Non sufficienza
Basilicata;23,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;19,33;Non sufficienza
Umbria;14,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;19,36;Non sufficienza
Molise;19,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;19,41;Non sufficienza
Molise;19,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;19,56;Non sufficienza
Abruzzo;18,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;19,61;Non sufficienza
Molise;19,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;19,62;Non sufficienza
Marche;15,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;19,64;Non sufficienza
Calabria;24,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;19,64;NON raggiungono il traguardo
Abruzzo;18,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;19,73;Non sufficienza
Molise;19,00;;;Not Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;19,78;Non sufficienza
Abruzzo;18,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;19,79;Non sufficienza
Molise;19,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;19,86;Non sufficienza
Molise;19,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;19,91;Non sufficienza
Molise;19,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;19,95;Non sufficienza
Calabria;24,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;20,02;NON raggiungono il traguardo
Abruzzo;18,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;20,05;Non sufficienza
Lazio;16,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;20,07;Non sufficienza
Marche;15,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;20,09;Non sufficienza
Friuli-Venezia Giulia;10,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;20,09;Non sufficienza
Puglia;21,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;20,18;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;20,25;Non sufficienza
Abruzzo;18,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;20,47;Non sufficienza
Lazio;16,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;20,47;Non sufficienza
Molise;19,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;20,48;Non sufficienza
Sardegna;26,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;20,55;NON raggiungono il traguardo
Calabria;24,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;20,57;Non sufficienza
Valle d'Aosta;2,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;20,62;Non sufficienza
Lazio;16,00;;;;;;Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;20,65;Non sufficienza
Basilicata;23,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;20,66;NON raggiungono il traguardo
Basilicata;23,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;20,69;Non sufficienza
Umbria;14,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;20,73;Non sufficienza
Puglia;21,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;20,92;NON raggiungono il traguardo
Sicilia;25,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;20,93;Non sufficienza
Molise;19,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;21,02;Non sufficienza
Valle d'Aosta;2,00;;Not Statistically significant;;;;;;Grado 2;Italiano;2018-2019;21,02;Non sufficienza
Calabria;24,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;21,03;NON raggiungono il traguardo
